id,tweet,label,disaster
'348351442404376578', jay1972jay nope  mid 80 s  it s off metallica s 2nd album ride the lightning   84 i believe ,0,flood
'348167215536803841',nothing like a  16 second downpour to give us some much needed moisture   ,0,flood
'348644655786778624', nelsontagoona so glad that you missed the floods and saw our sunny side last monday as we honoured mother earth  shelleylarose,1,flood
'350519668815036416',party hard   suns down   still warm   lovin life   smile hard   do it right      summer 2013,0,flood
'351446519733432320', exclusionzone if you compare yourself to water does that mean i can t live without you ,0,flood
'349528038817546241',and is usually viewed in a  heroic light  recent events notwithstanding ,0,flood
'351467497318387713',you thought there was more to us but you knew how it would end   ,0,flood
'349946283395530752', canada  appeared on tuesday 25 at the 18th place in the top20 of edmonton s trends   ,0,flood
'350124639705497601',i  can t tell you how many times i had this realization ,0,flood
'351785290446299136',i m at land  sea  calgary  alberta   ,0,flood
'348247048841224192', lisemouskaal 17th avenue is flooded from mcleod trail  west to centre street  i believe mcleod is flooded from 25th ave all the way to 3rd,1,flood
'351088700169535489',anyone need some american clay   americanclay for sale  let me know  yyc  ecoliving  cleanliving      ,0,flood
'348729640124313600',heartily chatted with  kenyans today in the mall ,0,flood
'348097369948164097', crackmacs same seems like 1 2 of yyc is shut down      yycflood,1,flood
'349527874446954497',tuesday morning update  4st store still closed due to no power in our community  closest bronze baxx is our sirocco drive location ,0,flood
'350040683295424512',clearly  the mistake was that the souvenir seller came to them with more money than what we paid  the plaza managers ha,0,flood
'351054139016486913',holy poop its hot today ,0,flood
'348245026935042048',supreme bug protection  cooking for a house full of refugees   floodageddon   dunne turk household  ,1,flood
'349413574675927040',that is not a ferret rt  raggedyauthor   barileia baby bunny on my lap   ,0,flood
'349729143031730176', actioncond good one for the girls that go all the way down  strongtothecore  ,0,flood
'348263625871458304',lies okotoks tells itself    the river only floods once every hundred years ,1,flood
'348435003564240897',internal auditor and accountant in calgary  ab  job  hiring  ,0,flood
'351454529239265280',floor to ceiling baby  keeping it county  lt 3  firewood  woodshed  woodstove  keepinitcountry  ,0,flood
'350028174517731330',  those arms  that face that smile      this guy is absolutely perfect,0,flood
'351451401609674755',keep on saying duplicate tweet fudge is that ,0,flood
'351225709735313409',would  specifically please the leader of this whole expedition  and once that was out of the way  she would rejoin the f,0,flood
