id,tweet,tokenized,lemmatized,stemmed,label
901594938407739393,my hurricane sundae cookies and creme    hurricaneharvey  houston  tagsforlikes  no h,my hurricane sundae cookies and creme hurricaneharvey houston tagsforlikes no h,my hurricane sundae cooky and creme hurricaneharvey houston tagsforlikes no h,my hurrican sunda cooki and creme hurricaneharvey houston tagsforlik no h,1
901594810582171654,ben   jerry s  ben   jerry s,ben jerry s ben jerry s,ben jerry s ben jerry s,ben jerri s ben jerri s,0
901594244187545600,when wendell williams uses your shot   go texans   repost life changen   get repost      game,when wendell williams uses your shot go texans repost life changen get repost game,when wendell williams us your shot go texan repost life changen get repost game,when wendel william use your shot go texan repost life changen get repost game,0
901594032668856322,winner  2  demchaleo  jshades  giveaway  ambassador been there when  jshades was just on a,winner 2 demchaleo jshades giveaway ambassador been there when jshades was just on a,winner 2 demchaleo jshades giveaway ambassador been there when jshades wa just on a,winner 2 demchaleo jshade giveaway ambassador been there when jshade wa just on a,0
901593932055756800,if you have never heard of  shopmissa thank me later  it s a dallas based  pany store where,if you have never heard of shopmissa thank me later it s a dallas based pany store where,if you have never heard of shopmissa thank me later it s a dallas based pany store where,if you have never heard of shopmissa thank me later it s a dalla base pani store where,0
901593636487532544,you know who would like bridgette b eating nicolette shea s booty hole while getting fucked from behind  my family on facebook,you know who would like bridgette b eating nicolette shea s booty hole while getting fucked from behind my family on facebook,you know who would like bridgette b eating nicolette shea s booty hole while getting fucked from behind my family on facebook,you know who would like bridgett b eat nicolett shea s booti hole while get fuck from behind my famili on facebook,0
901593496913666048,newxworld  xvnvx  houston  texas,newxworld xvnvx houston texas,newxworld xvnvx houston texas,newxworld xvnvx houston texa,0
901593308610342912,thank you both for participating in the  jshades  giveaway  baebe and  demchaleo y all are the,thank you both for participating in the jshades giveaway baebe and demchaleo y all are the,thank you both for participating in the jshades giveaway baebe and demchaleo y all are the,thank you both for particip in the jshade giveaway baeb and demchaleo y all are the,0
901593307083657217,i would love to show my friends and family this scene of anya ivy getting titty fucked and a facial where it gets in her eye,i would love to show my friends and family this scene of anya ivy getting titty fucked and a facial where it gets in her eye,i would love to show my friend and family this scene of anya ivy getting titty fucked and a facial where it get in her eye,i would love to show my friend and famili thi scene of anya ivi get titti fuck and a facial where it get in her eye,0
901593257028841475,tornadowarning  houston  houston  texas,tornadowarning houston houston texas,tornadowarning houston houston texas,tornadowarn houston houston texa,0
901592882682880000,winner  1  baebe  jshades  giveaway when your friends are bosses too  all we do is make money,winner 1 baebe jshades giveaway when your friends are bosses too all we do is make money,winner 1 baebe jshades giveaway when your friend are boss too all we do is make money,winner 1 baeb jshade giveaway when your friend are boss too all we do is make money,0
901592832875446272,my family and i have been at home all weekend waiting out this storm keeping all those affected,my family and i have been at home all weekend waiting out this storm keeping all those affected,my family and i have been at home all weekend waiting out this storm keeping all those affected,my famili and i have been at home all weekend wait out thi storm keep all those affect,2
901592492725940224,that he s already once during this presidency 901417676047872001,that he s already once during this presidency 901417676047872001,that he s already once during this presidency 901417676047872001,that he s alreadi onc dure thi presid 901417676047872001,0
901591895822000129,gosewisch s sac fly leads ta a to 7 3 win over fresno  ajdf,gosewisch s sac fly leads ta a to 7 3 win over fresno ajdf,gosewisch s sac fly lead ta a to 7 3 win over fresno ajdf,gosewisch s sac fli lead ta a to 7 3 win over fresno ajdf,0
901591667454513152,every saturday night at the all new  johnny b s outlaw saloon      we ve got  1 50 drafts and,every saturday night at the all new johnny b s outlaw saloon we ve got 1 50 drafts and,every saturday night at the all new johnny b s outlaw saloon we ve got 1 50 draft and,everi saturday night at the all new johnni b s outlaw saloon we ve got 1 50 draft and,0
901591493890080768,decided to get in a quick walk before next round of heavy rain this is such a nice area to go,decided to get in a quick walk before next round of heavy rain this is such a nice area to go,decided to get in a quick walk before next round of heavy rain this is such a nice area to go,decid to get in a quick walk befor next round of heavi rain thi is such a nice area to go,0
901591201526145024,oh the weather outside is frightful  but the erg is just delightful     survivingthestorm,oh the weather outside is frightful but the erg is just delightful survivingthestorm,oh the weather outside is frightful but the erg is just delightful survivingthestorm,oh the weather outsid is fright but the erg is just delight survivingthestorm,0
901590757169012736,clear sky  houston yes we still opentonight the fight of the century sat  aug  26th,clear sky houston yes we still opentonight the fight of the century sat aug 26th,clear sky houston yes we still opentonight the fight of the century sat aug 26th,clear sky houston ye we still opentonight the fight of the centuri sat aug 26th,0
901590620623523840,power outages  flight cancellations after harvey hits texas  ajd7,power outages flight cancellations after harvey hits texas ajd7,power outage flight cancellation after harvey hit texas ajd7,power outag flight cancel after harvey hit texa ajd7,1
901590618845143042,greenspoint  still in flood recovery  waits unce ainly for harvey s deluge  ajd6,greenspoint still in flood recovery waits unce ainly for harvey s deluge ajd6,greenspoint still in flood recovery wait unce ainly for harvey s deluge ajd6,greenspoint still in flood recoveri wait unc ainli for harvey s delug ajd6,1
901590583952773120,whatever good things we build end up building us            photography  happiness  hermannpark,whatever good things we build end up building us photography happiness hermannpark,whatever good thing we build end up building u photography happiness hermannpark,whatev good thing we build end up build us photographi happi hermannpark,0
901590533440761856,video  lucky driver escapes flooded car after harvey hits cypress area  ajd3,video lucky driver escapes flooded car after harvey hits cypress area ajd3,video lucky driver escape flooded car after harvey hit cypress area ajd3,video lucki driver escap flood car after harvey hit cypress area ajd3,1
901590406835699712,finally found an open location   starbucks in houston  tx  7iv580tuinl,finally found an open location starbucks in houston tx 7iv580tuinl,finally found an open location starbucks in houston tx 7iv580tuinl,final found an open locat starbuck in houston tx 7iv580tuinl,0
901590339353444354,the bayou has risen since hurricane harvey has be e higher   friends of macgregor park,the bayou has risen since hurricane harvey has be e higher friends of macgregor park,the bayou ha risen since hurricane harvey ha be e higher friend of macgregor park,the bayou ha risen sinc hurrican harvey ha be e higher friend of macgregor park,1
901590308877631488,so bad    she s good   greenway   upper kirby  houston,so bad she s good greenway upper kirby houston,so bad she s good greenway upper kirby houston,so bad she s good greenway upper kirbi houston,0
901589800565837828,sharing a bomber with el puma  that we bought when we went to san diego last year  he s outside,sharing a bomber with el puma that we bought when we went to san diego last year he s outside,sharing a bomber with el puma that we bought when we went to san diego last year he s outside,share a bomber with el puma that we bought when we went to san diego last year he s outsid,0
901589768961708039,it s fight night  kids  go  conor   thenotoriousmma pimlicoirishpub  guinnessus  jamesonwhiskey,it s fight night kids go conor thenotoriousmma pimlicoirishpub guinnessus jamesonwhiskey,it s fight night kid go conor thenotoriousmma pimlicoirishpub guinnessus jamesonwhiskey,it s fight night kid go conor thenotoriousmma pimlicoirishpub guinnessu jamesonwhiskey,0
901589503537762304,made the best of my bi hday and so much fun   at  cycloneanayas in houston  tx  8t18pajzeaa,made the best of my bi hday and so much fun at cycloneanayas in houston tx 8t18pajzeaa,made the best of my bi hday and so much fun at cycloneanayas in houston tx 8t18pajzeaa,made the best of my bi hday and so much fun at cycloneanaya in houston tx 8t18pajzeaa,0
901589234938675200,almost dusk  listen audio  cicadas  harvey  westbury  houston  texas,almost dusk listen audio cicadas harvey westbury houston texas,almost dusk listen audio cicada harvey westbury houston texas,almost dusk listen audio cicada harvey westburi houston texa,0
901589225493102594,some  long necks  at the bayou behind where i live   macgregor park,some long necks at the bayou behind where i live macgregor park,some long neck at the bayou behind where i live macgregor park,some long neck at the bayou behind where i live macgregor park,0
901588249726025732,this hurricane gig tho  highsociety  stonergang  highlife420  pasadena  texas,this hurricane gig tho highsociety stonergang highlife420 pasadena texas,this hurricane gig tho highsociety stonergang highlife420 pasadena texas,thi hurrican gig tho highsocieti stonergang highlife420 pasadena texa,2
901588181400866816,tornado near me in cypress that hit about 2 hours ago   drfashion7  houston  texas  houston  texas,tornado near me in cypress that hit about 2 hours ago drfashion7 houston texas houston texas,tornado near me in cypress that hit about 2 hour ago drfashion7 houston texas houston texas,tornado near me in cypress that hit about 2 hour ago drfashion7 houston texa houston texa,2
901587678327689217,at 7 58 am  2 nw houston  harris co  tx  public repo s flash flood  hgx  201708261258,at 7 58 am 2 nw houston harris co tx public repo s flash flood hgx 201708261258,at 7 58 am 2 nw houston harris co tx public repo s flash flood hgx 201708261258,at 7 58 am 2 nw houston harri co tx public repo s flash flood hgx 201708261258,1
901587468092407808,ladyleger out at imperialcollision with the viper   alexventura  alexventurathephotographer,ladyleger out at imperialcollision with the viper alexventura alexventurathephotographer,ladyleger out at imperialcollision with the viper alexventura alexventurathephotographer,ladyleg out at imperialcollis with the viper alexventura alexventurathephotograph,0
901587363272556544,repost  elvisfreshley  get repost      when killa called and said he got me i believed him,repost elvisfreshley get repost when killa called and said he got me i believed him,repost elvisfreshley get repost when killa called and said he got me i believed him,repost elvisfreshley get repost when killa call and said he got me i believ him,0
901587067829862401,just posted a video  houston  texas,just posted a video houston texas,just posted a video houston texas,just post a video houston texa,0
901586971415515137,fight night and football night   texansvssaints  nfl  boxing  mayweathermcgregor  pearland  texas,fight night and football night texansvssaints nfl boxing mayweathermcgregor pearland texas,fight night and football night texansvssaints nfl boxing mayweathermcgregor pearland texas,fight night and footbal night texansvssaint nfl box mayweathermcgregor pearland texa,0
901586485648007170,i m at  24hourfitness in houston  tx d0s25ug7fwt,i m at 24hourfitness in houston tx d0s25ug7fwt,i m at 24hourfitness in houston tx d0s25ug7fwt,i m at 24hourfit in houston tx d0s25ug7fwt,0
901586241531109376,i love my baby    boxer daily  boxerpuppy  dogs  doglovers  pearland  texas,i love my baby boxer daily boxerpuppy dogs doglovers pearland texas,i love my baby boxer daily boxerpuppy dog doglovers pearland texas,i love my babi boxer daili boxerpuppi dog doglov pearland texa,0
901586125940248580,fashion always  es first  even in searching for storm wear     hightideheels filled the bill,fashion always es first even in searching for storm wear hightideheels filled the bill,fashion always e first even in searching for storm wear hightideheels filled the bill,fashion alway es first even in search for storm wear hightideheel fill the bill,1
901586092440387587,at 10 39 am  1 sw houston  harris co  tx  public repo s flash flood  hgx  201708261539,at 10 39 am 1 sw houston harris co tx public repo s flash flood hgx 201708261539,at 10 39 am 1 sw houston harris co tx public repo s flash flood hgx 201708261539,at 10 39 am 1 sw houston harri co tx public repo s flash flood hgx 201708261539,1
901585934805819394,harvey update with on the scene apollo   roger deards texas bbq and all other grub,harvey update with on the scene apollo roger deards texas bbq and all other grub,harvey update with on the scene apollo roger deards texas bbq and all other grub,harvey updat with on the scene apollo roger deard texa bbq and all other grub,0
901585730257903616,what hurricane           ruthiemaesgrandbaby  houston  texas,what hurricane ruthiemaesgrandbaby houston texas,what hurricane ruthiemaesgrandbaby houston texas,what hurrican ruthiemaesgrandbabi houston texa,2
901585617578053633,fight night tonight at bellestationhtx    mayweathermcgregor  bellestation  houstontx  midtown,fight night tonight at bellestationhtx mayweathermcgregor bellestation houstontx midtown,fight night tonight at bellestationhtx mayweathermcgregor bellestation houstontx midtown,fight night tonight at bellestationhtx mayweathermcgregor bellest houstontx midtown,0
901585421649551366,shout outs to my shotgun riders  nationaldogday  lucystales  kemah  sandyadams co  houston  texas,shout outs to my shotgun riders nationaldogday lucystales kemah sandyadams co houston texas,shout out to my shotgun rider nationaldogday lucystales kemah sandyadams co houston texas,shout out to my shotgun rider nationaldogday lucystal kemah sandyadam co houston texa,0
901585365403873280,i m so grateful for this oppo unity i m just ready to put on the best show possible and enjoy,i m so grateful for this oppo unity i m just ready to put on the best show possible and enjoy,i m so grateful for this oppo unity i m just ready to put on the best show possible and enjoy,i m so grate for thi oppo uniti i m just readi to put on the best show possibl and enjoy,0
901585316775120897,hallsbayou  hurricaneharvey  eastex   jensen  houston,hallsbayou hurricaneharvey eastex jensen houston,hallsbayou hurricaneharvey eastex jensen houston,hallsbay hurricaneharvey eastex jensen houston,0
901585070716280832,lonstar  lonestarstate  harvey  whathurricane  gonestar  little dipper,lonstar lonestarstate harvey whathurricane gonestar little dipper,lonstar lonestarstate harvey whathurricane gonestar little dipper,lonstar lonestarst harvey whathurrican gonestar littl dipper,0
901583813993570304,we ain t fraid of no ghost  ghostbusters  buddies  harvey  whathurricane  little dipper,we ain t fraid of no ghost ghostbusters buddies harvey whathurricane little dipper,we ain t fraid of no ghost ghostbusters buddy harvey whathurricane little dipper,we ain t fraid of no ghost ghostbust buddi harvey whathurrican littl dipper,0
901583655092588544,we have power   gonna enjoy it  rogue one and snacks   rogueone,we have power gonna enjoy it rogue one and snacks rogueone,we have power gonna enjoy it rogue one and snack rogueone,we have power gonna enjoy it rogu one and snack rogueon,0
901583554622218240,hope everyone is safe from all the rains and tornados           essentiallyfitclub,hope everyone is safe from all the rains and tornados essentiallyfitclub,hope everyone is safe from all the rain and tornado essentiallyfitclub,hope everyon is safe from all the rain and tornado essentiallyfitclub,1
901583058561679360,just posted a photo  houston  texas,just posted a photo houston texas,just posted a photo houston texas,just post a photo houston texa,0
901582946443960320,i m at  littledipperbar in houston  tx e5pgzcj4ez1,i m at littledipperbar in houston tx e5pgzcj4ez1,i m at littledipperbar in houston tx e5pgzcj4ez1,i m at littledipperbar in houston tx e5pgzcj4ez1,0
901582007024549888,chapelwood family praying for everyone affected by  harvey  hopedealers  chapelwood  chapelwood,chapelwood family praying for everyone affected by harvey hopedealers chapelwood chapelwood,chapelwood family praying for everyone affected by harvey hopedealers chapelwood chapelwood,chapelwood famili pray for everyon affect by harvey hopedeal chapelwood chapelwood,1
901581619378704384,cuzin teddy say he looking for a city girl where yall at cum on,cuzin teddy say he looking for a city girl where yall at cum on,cuzin teddy say he looking for a city girl where yall at cum on,cuzin teddi say he look for a citi girl where yall at cum on,0
