id,tweet,label,disaster
'296728042179534848', marksdobson i always thought that  big lad aint he  must pump some serious lead  unless he is on the gear like  darrennorton60  jabber,0,flood
'296085045645570048', thamonstar a lot of water moving around and a bit dirty  probably should give it a miss today,1,flood
'296811076400603136',craig thompson to be extradited to victoria on 149 fraud charges  oh to be on the plane  with him in handcuffs   auspol,0,flood
'295357934387486720',sunshine state  sort your shit out ,0,flood
'296390762210398210', markphilippi yeah i saw it  he s a wanker  paul kent was brilliant at that,0,flood
'296843667321278464', purpletiger79 i really enjoyed doing a photo a day  i think ima continue  do feb  are you ,0,flood
'295330152093712384',the sunshine coast    noosa heads  ,0,flood
'296744122075729920',okay  new favourite piracy metaphor  paying for content as buying indulgences for the sin of piracy ,0,flood
'296354176542334977',what my gum is all swollen omg am i going to die,0,flood
'296143150605553664',sun and waves   finally   palm beach  ,0,flood
'296581730612162560',my toe is in so much pain arghhhh,0,flood
'296504340003291136', rehderscorner both  pressdarling and  gigarussian are eligible for the nba perk  maybe one of them can give you their code    ,0,flood
'295322319302295552',to all of my friends in the uk  australia stay safe  look after yourself  your loved ones,1,flood
'296805216077111297',looking at what new piercings i can get in the future wish i had     skin candy   ,0,flood
'296599444361711617', thejay i h he doesn t know i ve made a list let alone him being at the top of it,0,flood
'296936072703774720',get over it choc you lost   anyone with half a brain could see it   ,0,flood
'296598844987293696',like i don t even remember the born this way or monster balls it still seems surreal idk,0,flood
'295485547990892544', liampayne69me hey babe could i please get a follow   ,0,flood
'297239714937847811',i just ousted  benhamilton as the mayor of pizza lane on  foursquare   ,0,flood
'296591338063925248', larryemdur you have my vote ,0,flood
'295461064844394497', lozzkip i know i was a bit scared   ,0,flood
'297092543911428096', niallofficial can i make you a cake  which type,0,flood
'296852330584883200',what if the boys come to movie world when i m working next week omg,0,flood
'296614618569269248', steviedacanay i wish i could afford to fly over from oz for this ,0,flood
'297074860973236225',coming up on  thetodayshow the 2 gold coast surf rescue heroes nick  angus  ,0,flood
'297332066197069824', r mcewan  greglovey not yet buddy but 2 good lookin  civvy s like yourselves finding a job should be easy i ll even provide the pool table ,0,flood
'295412327640080384',waiting out the storm  with slipped diss    kookaburra cafe  ,1,flood
'295444466049875968', peacelovevegan i have bg on my list to watch ,0,flood
'295325443991674881', ellendoughty it s ridiculous how they re implying that first and foremost it s the victim s fault    fucking disgusting ,0,flood
'295706437026455553', fitzroyriver catchment is 2nd largest in  aus and peak not expected to hit  rockhampton for another week   bigwet  qldfloods,1,flood
'296570783952683009',me  dallas and joeeyy33   we on that patron boys     fuckinwasted  drunkennights  kayjays21st   hot gossip  ,0,flood
'296230998406991872',works was hectic today  so much drama for one small business   ,0,flood
'295386316911304704', yougomarniecoco that s what they are saying ,0,flood
'296487108682596353',i dun like my math and business class here  k bye ,0,flood
'295509502428585985', puddstrikesback  damn fat fingers  and you could cock punch him in the bacon bits,0,flood
'295748669506985984',i ve finally seen the wind turbines  impressive     windy hill wind farm w   mr billiam   ,0,flood
'295694935141777408',enjoying your  australiaday holiday  check my blog post     australia  indigenous,0,flood
'295770976069767168', cast nath  sbear0112 wow that was a while ago,0,flood
'297449290941485056', micalspears4sbf friday is over saturday is here where i am off to support inm at an aboriginal corroboree  blessings on you  your friday  ,0,flood
'296204996020666368', littlebirdie87 ugh he s just so condescending and pretentious  it s a pity they re the queensland team ,0,flood
'296805064100696065',using lunch break to take photos for cv   actorlife,0,flood
'296181708775104512', abloorable well done  you forgot to mention 86 twitter accounts ,0,flood
'295423828056735744',son and family have tickets for the keith urban concert flew down on friday disappointed  themthebreaks,0,flood
'297296788623339520',friday market  at elizabeth street   pic    ,0,flood
'296770942183563264', sherwin 1000 pages is far too long for my feeble brain right now,0,flood
'296779257764515842',mhmm watching basketball on tv atm and them hot cheerleaders  holy shit  8         d,0,flood
'296555563809132544', sky w82 lol i dont like photos of me ,0,flood
'295681670592471042',     the rowing club next to out apartment block is underwater  warm  wet    ,1,flood
'295891794720346112', 9newsbrisbane  rt  jsthirtyfive  qld police couldn t resist having a hell time   bigwet  ,0,flood
'295479715882483712', sbear0112 dvds have different region codes  so american canada is 1  uk is 2 and australia nz are region 4,0,flood
'296918040816271360',just realised that year 12  uni is not gonna be easy  2013 will be a massive bang bang year indeed ,0,flood
'295367088950890496', katy potaty yes  i also own by any means as well   total wanderlust i have ,0,flood
'296443394010517504', invig there is no ipc protocol at all for ios right now  zero  at the moment  any inter app is done purely via urls ,0,flood
'296936247300071425',there s another assasin s creed   o,0,flood
'295679702218194945',north end of clarendon st in east brisbane is flooded     bigwet  ,1,flood
'296842969456209920', yvonnetrinh haha oh nice  i need to do some excercise today bahahha but yes i don t mind them    will invest in more in the future,0,flood
'297168124833312768',back again    broncos leagues club   ,0,flood
'296488595924058112',spear fishing in the coral sea  i caught a beetle   ,0,flood
'295829808330452992', caarlax    aww i start work before sunrise  plus there s no beach  i work in the desert haha  scunered x,0,flood
'296896979496210432', jimpeeps  it is mate unreal place is jus different class so chilled defo recommend it to any1  thelife,0,flood
'296562738321317888', jennifer hewett  double standards on sexism jennifer hewett    i enjoyed the read  all too true ,0,flood
'297477093732782081', dloehr is this the remake with spacey and wright thats gone straight to netflix ,0,flood
'296596674338488321', jenniflawrence  what s your favourite thing to do in your free time ,0,flood
'297234175776391168',so happy its the weekend,0,flood
