id,tweet,label,disaster
'262596552399396864',i ve got enough candles to supply a mexican family,0,hurricane
'263044104500420609',sandy be soooo mad that she be shattering our doors and shiet  hurricanesandy,1,hurricane
'263309629973491712', ibexgirl thankfully hurricane waugh played it cool and waited this one out  ready to go at any moment tho ,0,hurricane
'263422851133079552', taos you never got that magnificent case of burgundy i sent you to thank you for your tweets ,0,hurricane
'262404311223504896',i m at mad river bar  grille  new york  ny   ,0,hurricane
'263101347421888513',neighborly duties   cory kennedy arrives to the rescue sporting some spelunking equipment  sandy   300 squad  ,1,hurricane
'262763437325684736',and that s it until the spring ,0,hurricane
'263298821189156865',i don t know how i m getting back to jersey since the trains and subways aren t running   ,1,hurricane
'262813023515865088', naeempeena we were asked to get off the plane  after checkin and boarding passes,0,hurricane
'262998165282762752', jaytee 96 you must be crazy   omg you tweeted something yay lol,0,hurricane
'262914476989358080',already flooded so much  sandy   hoboken  ,1,hurricane
'262574187141541888', eloreeeeeee need me to comeback and finish it since i was supposed to sleep over and then i woulda finished,0,hurricane
'262991999911743490',on that note  i pray that everyone stays safe  and keeps a positive attitude    godisgood,1,hurricane
'262767536540643329', codyfinz my house is creeking    does that mean she s trying to break in ,1,hurricane
'262984888020504578',my mom just found my little sister screaming out of her window in a random language to animals  onlymyfamily,0,hurricane
'262970751861260288',rt  frankiero  droplets of water is literally falling from the sky   frankenstormlive ,0,hurricane
'262690350051770368', nevatrust again i dnt no if she gonna let me,0,hurricane
'263059088869556224', jennettemccurdy  noahmunck he s got that kinda spec ops rugged looks,0,hurricane
'262653983838048256',debating going home in prep for  sandy,1,hurricane
'262998057216516096', viamadison thanks  babe  we all appreciate it     x,0,hurricane
'262768220375756800',i can t taste my damn food  ,0,hurricane
'262771779553087488',by 11am it s going to be 100  chance of rain  hurricanesandy,1,hurricane
'262344750932299777',big daddy deco ready for this halloween party  ,0,hurricane
'263090063473254400', mslwillsee loll i don t know your twitter name anymore it doesn t popup when i type for name,0,hurricane
'262729320777256961', lisanewmn i do it all the time  don t hate me    ,0,hurricane
'263047213490507776', newscaster we are 5 blocks from the water  first two blocks were evacuated  sounds like a train just went by  stay safe  thanks ,1,hurricane
'263041963757031425',it s crazy out there  not gonna lie i m kind of scared ,1,hurricane
'263160409115222016', israilov1012 god bless them   lmao the wind calmed down a little so thats good,1,hurricane
'262624184029556736',no sooner then my last tweet did i receive this text  ,0,hurricane
'262764842253946880', mike cucci queen duck face        i can t do dick face so tongue works too right        ,0,hurricane
'262663408162324481',off to try to find a kids phone i have no idea why he wanted until now to look for it  huh,0,hurricane
'262977078201298944',one more shower before the power goes out lol,1,hurricane
'263040678920081408', marcushasfun  u were a guest star in my dream last night   2day i noticed marcus garvey park on a nyc  hurricane map   ,1,hurricane
'262738370759905280',word to the wise  make sure you have cash on u in case of a prolonged power outage  charge all ur phones  ipads  etc ,1,hurricane
'262397043224481792', gottaacemysatexam   oh lord  wish my cousin found this previously   ya better get this  top10favoritesongs kvb,0,hurricane
'262938402587033602', victoriaaa0x haha i was gonna say how can u not wanna stay with martha   ,0,hurricane
'263014974266408961', jackmackenroth  i m bored so i m gonna go outside and get a blow job  hurricanesandy,0,hurricane
'262700582928789504',yo ref his hand is outta bounds,0,hurricane
'263148068365533186',stop with this silly snow hoax  we all know this is a global warming hurricane     slackadjuster  severestudios  reedtimmertvn,1,hurricane
'262953803517657088',this is what it look like out my window    weedtopia       ,0,hurricane
'262891755366670338', hayleyshammock shopping fun      it should be like this then start to gradually get worse  but will keep u up2date    see what goes on  ,0,hurricane
'262992935581261824',i m debating if i should take you homeeee  ,0,hurricane
'262646509324103681',emily s air mattress is our noah s ark  two of every type  of boxed wine   sandy,1,hurricane
'262932766411354113',checking the city here in brooklyn   ,0,hurricane
'262893005973897216',holy shit it must be the end of the world when not even best buy is opening  day offf,0,hurricane
'262713321558507521',just because you can t  doesn t mean i can t,0,hurricane
'262643581859266560',when the lights in the elevator you re in go out and you re stuck in darkness  hurricanesandy,1,hurricane
'262388734526386177', satstudytime   wow   wish my boys found that earlier   hurry before its unavailable des moines register bwy,0,hurricane
'262923557485543424', thefatladyraps but you love me    and u ugg,0,hurricane
'263001696836407298', judyrey same thing in queens  i have siding hanging from my house  where r u ,0,hurricane
