id,tweet,label,disaster,tokenized,lemmatized,stemmed
'262596552399396864',i ve got enough candles to supply a mexican family,0,hurricane,i ve got enough candles to supply a mexican family,i ve got enough candle to supply a mexican family,i ve got enough candl to suppli a mexican famili
'263044104500420609',sandy be soooo mad that she be shattering our doors and shiet  hurricanesandy,1,hurricane,sandy be soooo mad that she be shattering our doors and shiet hurricanesandy,sandy be soooo mad that she be shattering our door and shiet hurricanesandy,sandi be soooo mad that she be shatter our door and shiet hurricanesandi
'263309629973491712',ibexgirl thankfully hurricane waugh played it cool and waited this one out  ready to go at any moment tho,0,hurricane,ibexgirl thankfully hurricane waugh played it cool and waited this one out ready to go at any moment tho,ibexgirl thankfully hurricane waugh played it cool and waited this one out ready to go at any moment tho,ibexgirl thank hurrican waugh play it cool and wait thi one out readi to go at ani moment tho
'263422851133079552',taos you never got that magnificent case of burgundy i sent you to thank you for your tweets,0,hurricane,taos you never got that magnificent case of burgundy i sent you to thank you for your tweets,tao you never got that magnificent case of burgundy i sent you to thank you for your tweet,tao you never got that magnific case of burgundi i sent you to thank you for your tweet
'262404311223504896',i m at mad river bar  grille  new york  ny,0,hurricane,i m at mad river bar grille new york ny,i m at mad river bar grille new york ny,i m at mad river bar grill new york ny
'263101347421888513',neighborly duties   cory kennedy arrives to the rescue spo ing some spelunking equipment  sandy   300 squad,2,hurricane,neighborly duties cory kennedy arrives to the rescue spo ing some spelunking equipment sandy 300 squad,neighborly duty cory kennedy arrives to the rescue spo ing some spelunking equipment sandy 300 squad,neighborli duti cori kennedi arriv to the rescu spo ing some spelunk equip sandi 300 squad
'262763437325684736',and that s it until the spring,0,hurricane,and that s it until the spring,and that s it until the spring,and that s it until the spring
'263298821189156865',i don t know how i m getting back to jersey since the trains and subways aren t running,1,hurricane,i don t know how i m getting back to jersey since the trains and subways aren t running,i don t know how i m getting back to jersey since the train and subway aren t running,i don t know how i m get back to jersey sinc the train and subway aren t run
'262813023515865088',naeempeena we were asked to get off the plane  after checkin and boarding passes,0,hurricane,naeempeena we were asked to get off the plane after checkin and boarding passes,naeempeena we were asked to get off the plane after checkin and boarding pass,naeempeena we were ask to get off the plane after checkin and board pass
'262998165282762752',jaytee 96 you must be crazy   omg you tweeted something yay lol,0,hurricane,jaytee 96 you must be crazy omg you tweeted something yay lol,jaytee 96 you must be crazy omg you tweeted something yay lol,jayte 96 you must be crazi omg you tweet someth yay lol
'262914476989358080',already flooded so much  sandy   hoboken,1,hurricane,already flooded so much sandy hoboken,already flooded so much sandy hoboken,alreadi flood so much sandi hoboken
'262574187141541888',eloreeeeeee need me to comeback and finish it since i was supposed to sleep over and then i woulda finished,0,hurricane,eloreeeeeee need me to comeback and finish it since i was supposed to sleep over and then i woulda finished,eloreeeeeee need me to comeback and finish it since i wa supposed to sleep over and then i woulda finished,eloreeeeee need me to comeback and finish it sinc i wa suppos to sleep over and then i woulda finish
'262991999911743490',on that note  i pray that everyone stays safe  and keeps a positive attitude    godisgood,1,hurricane,on that note i pray that everyone stays safe and keeps a positive attitude godisgood,on that note i pray that everyone stay safe and keep a positive attitude godisgood,on that note i pray that everyon stay safe and keep a posit attitud godisgood
'262767536540643329',codyfinz my house is creeking    does that mean she s trying to break in,2,hurricane,codyfinz my house is creeking does that mean she s trying to break in,codyfinz my house is creeking doe that mean she s trying to break in,codyfinz my hous is creek doe that mean she s tri to break in
'262984888020504578',my mom just found my little sister screaming out of her window in a random language to animals  onlymyfamily,0,hurricane,my mom just found my little sister screaming out of her window in a random language to animals onlymyfamily,my mom just found my little sister screaming out of her window in a random language to animal onlymyfamily,my mom just found my littl sister scream out of her window in a random languag to anim onlymyfamili
'262970751861260288',frankiero  droplets of water is literally falling from the sky   frankenstormlive,0,hurricane,frankiero droplets of water is literally falling from the sky frankenstormlive,frankiero droplet of water is literally falling from the sky frankenstormlive,frankiero droplet of water is liter fall from the sky frankenstorml
'262690350051770368',nevatrust again i dnt no if she gonna let me,0,hurricane,nevatrust again i dnt no if she gonna let me,nevatrust again i dnt no if she gonna let me,nevatrust again i dnt no if she gonna let me
'263059088869556224',jennettemccurdy  noahmunck he s got that kinda spec ops rugged looks,0,hurricane,jennettemccurdy noahmunck he s got that kinda spec ops rugged looks,jennettemccurdy noahmunck he s got that kinda spec ops rugged look,jennettemccurdi noahmunck he s got that kinda spec op rug look
'262653983838048256',debating going home in prep for  sandy,1,hurricane,debating going home in prep for sandy,debating going home in prep for sandy,debat go home in prep for sandi
'262998057216516096',viamadison thanks  babe  we all appreciate it     x,0,hurricane,viamadison thanks babe we all appreciate it x,viamadison thanks babe we all appreciate it x,viamadison thank babe we all appreci it x
'262768220375756800',i can t taste my damn food,0,hurricane,i can t taste my damn food,i can t taste my damn food,i can t tast my damn food
'262771779553087488',by 11am it s going to be 100  chance of rain  hurricanesandy,2,hurricane,by 11am it s going to be 100 chance of rain hurricanesandy,by 11am it s going to be 100 chance of rain hurricanesandy,by 11am it s go to be 100 chanc of rain hurricanesandi
'262344750932299777',big daddy deco ready for this halloween pa y,0,hurricane,big daddy deco ready for this halloween pa y,big daddy deco ready for this halloween pa y,big daddi deco readi for thi halloween pa y
'263090063473254400',mslwillsee loll i don t know your twitter name anymore it doesn t popup when i type for name,0,hurricane,mslwillsee loll i don t know your twitter name anymore it doesn t popup when i type for name,mslwillsee loll i don t know your twitter name anymore it doesn t popup when i type for name,mslwillse loll i don t know your twitter name anymor it doesn t popup when i type for name
'262729320777256961',lisanewmn i do it all the time  don t hate me,0,hurricane,lisanewmn i do it all the time don t hate me,lisanewmn i do it all the time don t hate me,lisanewmn i do it all the time don t hate me
'263047213490507776',newscaster we are 5 blocks from the water  first two blocks were evacuated  sounds like a train just went by  stay safe  thanks,2,hurricane,newscaster we are 5 blocks from the water first two blocks were evacuated sounds like a train just went by stay safe thanks,newscaster we are 5 block from the water first two block were evacuated sound like a train just went by stay safe thanks,newscast we are 5 block from the water first two block were evacu sound like a train just went by stay safe thank
'263041963757031425',it s crazy out there  not gonna lie i m kind of scared,2,hurricane,it s crazy out there not gonna lie i m kind of scared,it s crazy out there not gonna lie i m kind of scared,it s crazi out there not gonna lie i m kind of scare
'263160409115222016',israilov1012 god bless them   lmao the wind calmed down a little so thats good,2,hurricane,israilov1012 god bless them lmao the wind calmed down a little so thats good,israilov1012 god bless them lmao the wind calmed down a little so thats good,israilov1012 god bless them lmao the wind calm down a littl so that good
'262624184029556736',no sooner then my last tweet did i receive this text,0,hurricane,no sooner then my last tweet did i receive this text,no sooner then my last tweet did i receive this text,no sooner then my last tweet did i receiv thi text
'262764842253946880',mike cucci queen duck face        i can t do dick face so tongue works too right,0,hurricane,mike cucci queen duck face i can t do dick face so tongue works too right,mike cucci queen duck face i can t do dick face so tongue work too right,mike cucci queen duck face i can t do dick face so tongu work too right
'262663408162324481',off to try to find a kids phone i have no idea why he wanted until now to look for it  huh,0,hurricane,off to try to find a kids phone i have no idea why he wanted until now to look for it huh,off to try to find a kid phone i have no idea why he wanted until now to look for it huh,off to tri to find a kid phone i have no idea whi he want until now to look for it huh
'262977078201298944',one more shower before the power goes out lol,2,hurricane,one more shower before the power goes out lol,one more shower before the power go out lol,one more shower befor the power goe out lol
'263040678920081408',marcushasfun  u were a guest star in my dream last night   2day i noticed marcus garvey park on a nyc  hurricane map,1,hurricane,marcushasfun u were a guest star in my dream last night 2day i noticed marcus garvey park on a nyc hurricane map,marcushasfun u were a guest star in my dream last night 2day i noticed marcus garvey park on a nyc hurricane map,marcushasfun u were a guest star in my dream last night 2day i notic marcu garvey park on a nyc hurrican map
'262738370759905280',word to the wise  make sure you have cash on u in case of a prolonged power outage  charge all ur phones  ipads  etc,1,hurricane,word to the wise make sure you have cash on u in case of a prolonged power outage charge all ur phones ipads etc,word to the wise make sure you have cash on u in case of a prolonged power outage charge all ur phone ipads etc,word to the wise make sure you have cash on u in case of a prolong power outag charg all ur phone ipad etc
'262397043224481792',gottaacemysatexam   oh lord  wish my cousin found this previously   ya better get this  top10favoritesongs kvb,0,hurricane,gottaacemysatexam oh lord wish my cousin found this previously ya better get this top10favoritesongs kvb,gottaacemysatexam oh lord wish my cousin found this previously ya better get this top10favoritesongs kvb,gottaacemysatexam oh lord wish my cousin found thi previous ya better get thi top10favoritesong kvb
'262938402587033602',victoriaaa0x haha i was gonna say how can u not wanna stay with ma ha,0,hurricane,victoriaaa0x haha i was gonna say how can u not wanna stay with ma ha,victoriaaa0x haha i wa gonna say how can u not wanna stay with ma ha,victoriaaa0x haha i wa gonna say how can u not wanna stay with ma ha
'263014974266408961',jackmackenroth  i m bored so i m gonna go outside and get a blow job  hurricanesandy,0,hurricane,jackmackenroth i m bored so i m gonna go outside and get a blow job hurricanesandy,jackmackenroth i m bored so i m gonna go outside and get a blow job hurricanesandy,jackmackenroth i m bore so i m gonna go outsid and get a blow job hurricanesandi
'262700582928789504',yo ref his hand is outta bounds,0,hurricane,yo ref his hand is outta bounds,yo ref his hand is outta bound,yo ref hi hand is outta bound
